------All students-----
1. Andron Petr Vitalievich, 2003, 1001, 10, 10, 9, 9, 9,500000
2. Ans, 2003, 100, 10, 10, 1, 10, 7,750000
3. KAkakka, 2021, 1020, 8, 9, 8, 7, 8,000000
4. OPpopqowe, 2022, 100, 10, 10, 10, 0, 7,500000
5. aaa, 2003, 2, 3, 4, 5, 10, 5,500000
6. kasduifas;javnja, 2003, 1002, 7, 7, 7, 10, 7,750000
7. ladskfadskj;faklj;sdf, 2000, 10, 9, 9, 2, 9, 7,250000
8. qooqpeqpaaaaAAA, 2002, 1002, 8, 8, 8, 0, 6,000000
9. qpoweqpoweq, 2021, 100, 2, 2, 2, 2, 2,000000
------Clever students-----
1. Andron Petr Vitalievich, 2003, 1001, 10, 10, 9, 9, 9,500000
2. Ans, 2003, 100, 10, 10, 1, 10, 7,750000
